iter	Logloss
122	0.4074512753
123	0.4073771226
124	0.4073244455
125	0.4072449408
126	0.4072102969
127	0.4071662388
128	0.4070209886
129	0.4069663269
130	0.4065040559
131	0.4062587586
132	0.4062255221
133	0.4061952707
134	0.4061912837
135	0.4061861501
136	0.4061642546
137	0.4060926641
138	0.4059957184
139	0.4058760567
140	0.4058604304
141	0.4058564963
142	0.4057899975
143	0.4057861428
144	0.40567088
145	0.4056169354
146	0.4056169226
147	0.4055520083
148	0.4054582588
149	0.4054229562
150	0.4053972667
151	0.4053799359
152	0.4053437636
153	0.4052969577
154	0.4052820754
155	0.4051781183
156	0.4051706851
157	0.4051677935
158	0.4051651492
159	0.4050391384
160	0.4048131943
161	0.4047361535
162	0.4047241303
163	0.4045646048
164	0.4045621189
165	0.4044714661
166	0.404469178
167	0.4044191754
168	0.4043996293
169	0.4042786814
170	0.4041837628
171	0.4040430791
172	0.4040253965
173	0.4038560904
174	0.4038348611
175	0.4038305903
176	0.4038248295
177	0.4038100635
178	0.4037270504
179	0.403569708
180	0.4035644293
181	0.4034777111
182	0.4034024067
183	0.4032876007
184	0.4031636936
185	0.4031535466
186	0.4031165764
187	0.4029593755
188	0.4029511015
189	0.4029363299
190	0.4029225361
191	0.4026899013
192	0.4025492828
193	0.4024598681
194	0.40245221
195	0.4022768898
196	0.4022597429
197	0.4022363232
198	0.4019409295
199	0.4018277903
200	0.4017867966
201	0.4016650849
202	0.401554124
203	0.4015477312
204	0.4015171028
205	0.4013860325
206	0.4012455009
207	0.4012395242
208	0.4012338854
209	0.4011975585
210	0.4011960134
211	0.4011632806
212	0.4011144527
213	0.4011134375
214	0.4009610478
215	0.4009471271
216	0.400679706
217	0.4004728048
218	0.4004185223
219	0.4003381794
220	0.4001361513
221	0.399995547
222	0.399815355
223	0.399785433
224	0.3997798263
225	0.3996919231
226	0.3995848815
227	0.3995668599
228	0.3995237985
229	0.3994271882
230	0.3992940719
231	0.3992217272
232	0.3992149361
233	0.399033723
234	0.3988828364
235	0.3988475302
236	0.3988466591
237	0.3988466509
238	0.3987883408
239	0.3986828414
240	0.3986821132
241	0.3986814462
242	0.39862822
243	0.3986234658
244	0.3983610378
245	0.3982463482
246	0.3980820244
247	0.3980621202
248	0.3980129093
249	0.3978476907
250	0.3977073095
251	0.3977032802
252	0.3976996383
253	0.397551622
254	0.3973320443
255	0.3972729295
256	0.3972368674
257	0.3971909606
258	0.3971902286
259	0.3969592958
260	0.3968676732
261	0.3967987522
262	0.3967904872
263	0.3965543507
264	0.3964343209
265	0.3964314587
266	0.3962956852
267	0.3962410118
268	0.3962233764
269	0.3961675115
270	0.3961648721
271	0.396162484
272	0.3961490807
273	0.3961226161
274	0.3960907912
275	0.3960471254
276	0.3960450973
277	0.3960207519
278	0.3960201425
279	0.3958985344
280	0.3958286729
281	0.3958268739
282	0.3957294231
283	0.395687694
284	0.3956155134
285	0.3955986385
286	0.3954794435
287	0.3954448007
288	0.3953808848
289	0.3953602656
290	0.3953212414
291	0.3953156411
292	0.3951812342
293	0.3951728359
294	0.395061672
295	0.3950336152
296	0.3949700208
297	0.3949513542
298	0.394824338
299	0.394792621
300	0.3947875343
301	0.3945893566
302	0.3945457948
303	0.3945062774
304	0.3944908899
305	0.3943755232
306	0.394263673
307	0.3942631936
308	0.3942585096
309	0.3942227085
310	0.3940516196
311	0.3939051309
312	0.3938872185
313	0.3937960406
314	0.3937421146
315	0.393709325
316	0.3935142466
317	0.3934554341
318	0.3933721316
319	0.3933574134
320	0.3933457533
321	0.3933304234
322	0.3932943492
323	0.3932930025
324	0.3932533914
325	0.3932231764
326	0.3931122447
327	0.3931006463
328	0.3930601289
329	0.3929481427
330	0.3929055315
331	0.3929051088
332	0.39288709
333	0.3928667255
334	0.3928268556
335	0.3928258701
336	0.3928073571
337	0.3927607743
338	0.392621832
339	0.3926213475
340	0.3925947258
341	0.392466941
342	0.3923153954
343	0.3923096484
344	0.3922796464
345	0.3922155687
346	0.3921713396
347	0.3921682727
348	0.3920671999
349	0.3918203761
350	0.3917839962
351	0.3917270249
352	0.3916999983
353	0.3916420398
354	0.3916374645
355	0.3915990206
356	0.391521365
357	0.3914968035
358	0.3913577606
359	0.3911513858
360	0.3911188082
361	0.3910911064
362	0.3910908007
363	0.3909921091
364	0.3909260761
365	0.3908388281
366	0.3908052484
367	0.3907126926
368	0.3905562934
369	0.3905538096
370	0.3904966416
371	0.3904041272
372	0.3902426519
373	0.3900935169
374	0.3900342582
375	0.3899686102
376	0.3899612843
377	0.389957319
378	0.3899534895
379	0.3899286486
380	0.3899276759
381	0.3898960573
382	0.3898645288
383	0.3897919221
384	0.3896171436
385	0.389438343
386	0.3893359025
387	0.3893346596
388	0.3893020369
389	0.3891834431
390	0.3890387182
391	0.3889428806
392	0.3888083432
393	0.3887840121
394	0.3886666145
395	0.3886429419
396	0.3885221621
397	0.3884635825
398	0.3884047822
399	0.3882779681
